"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G29670",652.626880538586,1.05478344793101,0.211041115489606,4.99799977593922,5.79280524501926e-07,1.80305200969257e-05
"AT2G31160",103.968291138007,-1.49055013637194,0.504944854884242,-2.95190677151002,0.00315818267851314,0.0246279471007316
"AT2G14920",40.4135551641122,-1.775141849073,0.352291339336045,-5.03884612212883,4.68346829867455e-07,1.50951785934203e-05
"AT2G36640",119.541463747322,2.34005111695558,0.249797907884344,9.36777708338141,7.40761429928413e-21,1.81345056576183e-18
"AT2G38600",199.430256040452,-1.12810587877879,0.244443990107421,-4.6149871726568,3.93119595752432e-06,9.53963200366205e-05
"AT2G43920",51.36117969065,-2.42886104717149,0.518972444198941,-4.68013489795311,2.86686220921782e-06,7.27161744056321e-05
"AT2G24010",70.2044310833866,1.60367573973165,0.602029463977084,2.66378281411273,0.0077267431152496,0.0489817512351057
"AT2G25770",25.9757125930647,1.26221959704646,0.436568929885368,2.89122635772061,0.00383741615695475,0.0285259717597169
"AT2G38250",247.835101636862,1.18314703173351,0.249077825936156,4.75010983931093,2.03306189808671e-06,5.42847458768546e-05
"AT2G33850",1909.0572834997,-1.14121779105788,0.3121272402031,-3.65625823082692,0.000255923555051833,0.00332806652471213
"AT2G34600",3445.31491634999,1.22967860081917,0.296860068360528,4.14228362746909,3.43864725760387e-05,0.00061867255531522
"AT2G38240",715.779833526446,3.39049965256086,0.34263698128402,9.8953114747132,4.36250274794337e-23,1.46231092111062e-20
"AT2G05520",136.834813089343,2.0008452973878,0.307221866906754,6.51270470273875,7.38095250509889e-11,5.04125997432898e-09
"AT2G05510",4819.38559945081,1.3305891784143,0.261539152274653,5.08753342221203,3.62750473049694e-07,1.20298436937698e-05
"AT2G37810",12.8963977398647,3.33280735408547,0.866025651101836,3.84839334706214,0.000118895039257005,0.00174914592527457
"AT2G38760",1679.78425302452,1.02940515436989,0.176344705385167,5.83745994597055,5.30026308807587e-09,2.66087862126721e-07
"AT2G02700",64.4367915911101,1.03246433927102,0.299864523452423,3.44310266310925,0.000575080960313914,0.00643547198937831
"AT2G47520",330.090853973157,1.11089545709906,0.402278719074471,2.76150689664846,0.00575353014357441,0.0389794511095147
