"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G35242",16.7726275328522,1.81115068171412,0.590729808463488,3.06595444442697,0.00216976370879696,0.0185118764725441
"AT1G77400",67.2517574758041,-1.31286700427761,0.466795018895036,-2.81251288281811,0.00491560543735955,0.0345217124366546
"AT1G69150",403.085752202215,1.99942286283591,0.304309510485874,6.57035943320847,5.01939491790866e-11,3.51712713990565e-09
"AT1G51915",31.408386223275,2.83755106476218,0.600253886069596,4.72725146911116,2.27579353026466e-06,5.96800151763267e-05
"AT1G80590",13.8690184410357,-1.5264383875091,0.530913899151307,-2.87511475956682,0.00403880673109029,0.0296043310743086
"AT1G66930",54.5506091026206,-1.36365486358258,0.313865386071381,-4.34471249171914,1.39458192844703e-05,0.000286073453026663
"AT1G61120",7.79863829425773,2.7889219356497,0.858992535762184,3.24673593720472,0.00116736644821809,0.0112413829604811
"AT1G69160",279.514250322593,-1.11499220356901,0.380099237199309,-2.93342394419054,0.00335245779635241,0.0256985849560413
"AT1G67030",150.985709185858,-1.60856507655815,0.317662037358713,-5.06376238701043,4.11061949182742e-07,1.35110747101348e-05
"AT1G64590",791.020470076708,2.17745546045853,0.368474112614999,5.90938518042825,3.43386925170476e-09,1.7774555518563e-07
"AT1G79840",208.211851569818,-1.10509409627937,0.255548866886739,-4.32439442891036,1.52951427256438e-05,0.000310057442118353
"AT1G15380",6992.12663698387,-1.39741513662834,0.328729457811441,-4.25095805508826,2.12858032941414e-05,0.000411588487476423
"AT1G62380",5488.11192471099,-1.35936164091628,0.161920066156272,-8.39526362102855,4.64850092917939e-17,7.73283452279979e-15
"AT1G52680",15.0010178221596,4.89688122309266,1.04039407631369,4.70675615574746,2.51689668225053e-06,6.46794958721739e-05
"AT1G33100",58.1569515533525,2.32296590082867,0.410953503730573,5.65262463938412,1.58016135508545e-08,7.37363517131095e-07
"AT1G72360",1100.45786546754,2.18441315170698,0.154221349917536,14.1641423374586,1.52720051833152e-45,2.21871691303203e-42
"AT1G03850",202.085333039903,-1.43939142021099,0.280649997779937,-5.12877759343379,2.91629630240526e-07,9.92998890968992e-06
"AT1G47620",16.0658168131198,-2.1003621332408,0.582281456258456,-3.60712523242113,0.000309608251818849,0.00387312458302891
"AT1G73630",229.271624091446,-1.44243329185882,0.223231616964993,-6.4615994430799,1.03602037428699e-10,6.88321829160428e-09
"AT1G52560",79.7746654219089,1.36245811081706,0.286423463487601,4.75679643778919,1.96689327615226e-06,5.26566809261793e-05
"AT1G62975",721.470288679164,2.67759069429263,0.345754988608301,7.74418528296643,9.619664814116e-15,1.21878916063498e-12
"AT1G11080",1413.33654416142,-2.67536397391771,0.341395964997276,-7.83654245573483,4.63121807703648e-15,6.30771902092369e-13
"AT1G02310",461.340266534565,1.39364234874444,0.286705485285475,4.86088484619253,1.16862220758805e-06,3.35087041417878e-05
"AT1G05880",25.5241990337361,-1.94577806641893,0.502623748892448,-3.87124180006722,0.000108282313991752,0.00161511853970449
"AT1G19230",564.515619158965,1.08654648006892,0.264229551714484,4.11213080830188,3.9202406309329e-05,0.000690621534594097
"AT1G35240",70.8106105827402,1.53358713568628,0.314812214142368,4.8714346737282,1.10790795432402e-06,3.19781856167273e-05
"AT1G56430",102.538082760551,-2.27869181202135,0.355554489764865,-6.4088399320405,1.46631039439989e-10,9.48185047915798e-09
"AT1G01470",15241.9455818907,1.13166047493071,0.228857232386748,4.94483160146895,7.62097139213944e-07,2.31303911667831e-05
"AT1G30220",51.4583827459825,2.57110049774238,0.409879227137818,6.27282459688515,3.54556260442605e-10,2.17036236729361e-08
"AT1G13510",74.7708671572608,1.41773165877683,0.44930003231778,3.15542300645574,0.00160265559725808,0.0144318474278711
"AT1G11700",64.1553526219473,1.50867840767408,0.313233305792087,4.81646868253368,1.4612108592661e-06,4.08763890181346e-05
"AT1G73040",158.358292011929,2.03360505318058,0.367031777019969,5.54067843850462,3.01302044039768e-08,1.31582648170634e-06
