"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G08040",780.307968094945,0.469227832031603,0.113449984163263,4.13598851945498,3.53429861226683e-05,0.000632863067859645
"AT1G63522",1.39711182284693,-0.710198347782264,2.17735543749915,-0.326174741868502,0.744292150358946,NA
"AT1G08810",3.41532771955773,-0.630898215949392,1.12355737414028,-0.561518468455733,0.574444143791504,0.795974234215327
"AT1G09210",7323.58271243689,-0.0812532627253749,0.163983065479151,-0.495497888687203,0.620248711991731,0.822908191328648
"AT1G70080",51.7297105995375,-1.35049391396903,0.398138829789941,-3.39201759014954,0.000693799859598926,0.00752203310466656
"AT1G10522",101.049934110572,-0.0440820090906837,0.263016710819269,-0.167601552590985,0.866896749688879,0.947412937272821
"AT1G04570",65.8132229256736,0.569737879225402,0.254954954297115,2.23466094548392,0.0254396164169998,0.116785363589479
"AT1G01830",543.550882306796,0.115156182518,0.11740060059865,0.980882396945118,0.326650739105039,0.596028879391863
"AT1G12340",0.176347253980985,-0.900444403124731,4.0804728567969,-0.220671582614463,0.825348159790731,NA
"AT1G67590",382.7744183618,-0.142222147209854,0.265178458289366,-0.536326171165305,0.591733146187178,0.805873715559285
"AT1G69080",555.876886911768,1.03841811353303,0.219805973779692,4.72424882580223,2.30967482196422e-06,6.03506399523313e-05
"AT1G31400",0.670610559712276,1.51093485415343,2.52913692144208,0.59741125177672,0.550232843348532,NA
"AT1G74385",0,NA,NA,NA,NA,NA
"AT1G73300",132.718960518991,-0.800298554151376,0.326517936748684,-2.45100946710733,0.0142456206491242,0.0769758741759402
"AT1G05760",0,NA,NA,NA,NA,NA
"AT1G30530",352.953696548286,0.823948655152307,0.378967040148661,2.17419608530886,0.0296904122535133,0.130868419059175
"AT1G12480",2.12704108367584,-1.09966131877601,1.3772729765353,-0.798433816324739,0.424618785869344,NA
"AT1G76850",2347.40026973166,-0.0346828554618147,0.119823383802177,-0.289449808220026,0.772237183907288,0.906712969380798
"AT1G73570",139.218410332799,0.37160046259303,0.181246324708313,2.05025102269556,0.0403399413052623,0.162553254608779
"AT1G44130",8.34019051613111,0.304054863545678,0.654326182037732,0.464683932711934,0.642157816162533,0.836747738703494
"AT1G67340",329.631715260911,-0.304705495508462,0.26198322400252,-1.16307254660524,0.244800069579782,0.511572987752456
"AT1G80315",0,NA,NA,NA,NA,NA
"AT1G43666",0,NA,NA,NA,NA,NA
"AT1G08630",19.9330749598435,0.0744436655248265,0.447156510131612,0.16648234754072,0.86777737393432,0.947904311738613
"AT1G66150",1604.88752756312,0.296427750199066,0.133419359556285,2.22177464488587,0.0262985390624956,0.11944513615046
"AT1G04640",106.671649925153,-0.0577192348575762,0.206773714223007,-0.279142032508666,0.780135827335452,0.909761863824807
"AT1G56500",122.960887427083,-0.287079238768665,0.233783218799863,-1.22797196583399,0.219457491972464,0.481176945876238
"AT1G12615",0,NA,NA,NA,NA,NA
"AT1G77120",1705.58690124977,1.23339579850567,0.462348353083423,2.66767641818142,0.0076377778678603,0.0484548632595085
"AT1G50590",879.902959499364,0.933077489293856,0.2719365156725,3.43123278970591,0.000600844748923979,0.0066736028382015
"AT1G17147",408.319104464602,0.8000817652307,0.408247576748814,1.95979550350882,0.0500196970231335,0.188619006320839
"AT1G44740",51.2673984939429,-0.35036884878195,0.328100900120127,-1.06786920930016,0.285579513411235,0.555656138951575
"AT1G08005",0,NA,NA,NA,NA,NA
"AT1G24380",0,NA,NA,NA,NA,NA
"AT1G60787",59.524515834053,-0.529466344320623,0.341799425009984,-1.54905569049789,0.121368333203188,0.3356121509699
"AT1G26796",0,NA,NA,NA,NA,NA
